nom1;nom2;nom3;nom4;code_postal;longitude;latitude
guillemont;GUILLEMONT;guillemont;Guillemont;80360;2.83333;50.0167
bealcourt;BEALCOURT;bealcourt;Béalcourt;80370;2.18333;50.2
bouquemaison;BOUQUEMAISON;bouquemaison;Bouquemaison;80600;2.33333;50.2167
bellancourt;BELLANCOURT;bellancourt;Bellancourt;80132;1.91667;50.0833
fonches-fonchette;FONCHES-FONCHETTE;fonches fonchette;Fonches-Fonchette;80700;2.8175;49.7756
ercourt;ERCOURT;ercourt;Ercourt;80210;1.71667;50.05
rogy;ROGY;rogy;Rogy;80160;2.21667;49.7
noyelles-en-chaussee;NOYELLES-EN-CHAUSSEE;noyelles en chaussee;Noyelles-en-Chaussée;80150;1.98333;50.2
gorges-80;GORGES;gorges;Gorges;80370;2.16667;50.1167
sailly-saillisel;SAILLY-SAILLISEL;sailly saillisel;Sailly-Saillisel;80360;2.91667;50.0333
morvillers-saint-saturnin;MORVILLERS-SAINT-SATURNIN;morvillers saint saturnin;Morvillers-Saint-Saturnin;80590;1.83333;49.7833
senlis-le-sec;SENLIS-LE-SEC;senlis le sec;Senlis-le-Sec;80300;2.56667;50.0333
outrebois;OUTREBOIS;outrebois;Outrebois;80600;2.25;50.1667
ville-sur-ancre;VILLE-SUR-ANCRE;ville sur ancre;Ville-sur-Ancre;80300;2.61667;49.95
saint-vaast-en-chaussee;SAINT-VAAST-EN-CHAUSSEE;saint vaast en chaussee;Saint-Vaast-en-Chaussée;80310;2.20556;49.9701
bray-les-mareuil;BRAY-LES-MAREUIL;bray les mareuil;Bray-lès-Mareuil;80580;1.85;50.05
yvrench;YVRENCH;yvrench;Yvrench;80150;2;50.1833
chuignolles;CHUIGNOLLES;chuignolles;Chuignolles;80340;2.73333;49.9
louvencourt;LOUVENCOURT;louvencourt;Louvencourt;80560;2.5;50.1
brevillers-80;BREVILLERS;brevillers;Brévillers;80600;2.38333;50.2167
treux;TREUX;treux;Treux;80300;2.58333;49.95
grattepanche;GRATTEPANCHE;grattepanche;Grattepanche;80680;2.28333;49.7833
peronne-80;PERONNE;peronne;Péronne;80200;2.93333;49.9333
montonvillers;MONTONVILLERS;montonvillers;Montonvillers;80260;2.29556;49.9937
hervilly;HERVILLY;hervilly;Hervilly;80240;3.11667;49.9333
pertain;PERTAIN;pertain;Pertain;80320;2.86667;49.8167
autheux;AUTHEUX;autheux;Autheux;80600;2.23333;50.1333
marcelcave;MARCELCAVE;marcelcave;Marcelcave;80720;2.56667;49.85
daours;DAOURS;daours;Daours;80800;2.45;49.9
limeux-80;LIMEUX;limeux;Limeux;80490;1.81667;50.0167
y;Y;y;Y;80190;2.98333;49.8
cardonnette;CARDONNETTE;cardonnette;Cardonnette;80260;2.35;49.95
bosquel;BOSQUEL;bosquel;Bosquel;80160;2.21806;49.7392
